Air Pollution (PM2.5) - Population weighted exposure to PM2.5 (micro-grams per cubic meter),,,,,,,,,,,,,
Source: Boys et al. (2014); Aaron van Donkelaar (submitted).,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,
,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ireland,7.38,7.33,6.77,7.1,6.8,5.51,5.28,5.8,5.98,5.63,5.2,5.23,4.99
Isle of Man,8.22,8.2,7.23,8.06,7.68,8.34,6.57,6.4,5.54,5.07,5.23,5.2,4.95
Israel,11.8,11.8,11.61,11.35,11.96,12.1,12.3,11.91,12.14,11.79,11.71,11.81,13.24
Italy,17.57,17.31,16.55,16.64,17,16.54,16.18,15.47,13.48,13.03,13.03,13.78,13.34
Jamaica,7.34,6.55,4.26,4.35,4.51,4.91,5.01,5.12,5,4.92,5.19,5.18,5.19
Japan,11.96,11.88,12.87,13.32,12.89,12.84,12.68,13.27,13.35,12.9,12,11.96,11.69
Jordan,10.05,10.01,10.77,10.24,10.29,10.53,10.69,10.4,10.74,11.31,11.25,11.36,12.67
Kazakhstan,6.89,6.43,6.91,7.48,7.78,8.69,8.93,8.38,7.71,7.63,7.7,7.71,7.35
Kenya,2.98,2.95,3.19,3.73,4.07,4.21,4.44,4.75,4.59,4.25,4.13,4.42,4.62
Kiribati,4.46,4.41,4.48,4.49,4.5,4.53,4.5,4.5,4.5,4.51,4.54,4.54,4.54
Kuwait,11.3,8.92,12.44,11.66,11.42,11.65,14.87,14.99,16.19,15.9,17.08,17.15,18.89
Kyrgyzstan,7.44,5.91,7.41,7.59,7.99,9.14,8.76,8.79,8.18,8,7.84,7.83,7.8
Laos,18.12,18.07,13.31,13.73,15.95,17.51,17.82,17.81,15.35,16.74,17.31,18.42,21.14
Latvia,10.57,10.51,9.98,11.38,11.06,10.18,10.47,10.91,10.08,9.34,9.61,9.28,8.85
Lebanon,12.78,11.6,11.65,11.69,12.13,12.69,12.89,12.83,13.07,13.09,12.55,12.84,14.15
Lesotho,5.98,5.95,6.37,6.3,6.36,6.5,6.56,6.46,6.26,6.3,6.52,6.57,6.56
Liberia,4.29,4.06,5.22,5.29,5.48,5.62,5.53,5.51,4.98,4.76,5,5.23,5.25
Libya,9.14,8.77,10.03,10.47,11.09,11.1,10.76,9.76,9.07,8.91,9.02,9.9,9.5
Liechtenstein,8.9,8.89,13.99,13.94,11.74,11.89,12.15,12.47,12.11,11.84,10.92,10.63,11.25
Lithuania,13.98,13.94,12.84,13.3,12.82,12.69,14.31,14.25,11.85,11.47,12.06,12.33,11.75
Luxembourg,18.25,18.24,14.57,12.94,13.15,13.21,13.47,12.99,10.98,10.94,9.97,12.51,12.56
Macao,20.86,20.86,14.49,14.54,14.81,16.03,18.62,17.34,19.02,19.01,20.23,17.94,17.78
